week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion,total_count,total_proportion
1,5,2.1,0,0.0,0,0.0,0,0.0,5,2.1
2,54,8.8,8,1.3,0,0.0,0,0.0,62,10.1
3,96,5.4,12,0.7,0,0.0,0,0.0,108,6.1
4,283,10.5,13,0.5,0,0.0,0,0.0,296,11.0
5,553,17.7,24,0.8,1,0.0,0,0.0,578,18.5
6,709,20.9,19,0.6,0,0.0,6,0.2,734,21.7
7,1200,32.6,21,0.6,0,0.0,6,0.2,1227,33.3
8,1891,44.1,35,0.8,0,0.0,2,0.0,1928,45.0
9,1963,52.7,69,1.9,0,0.0,10,0.3,2042,54.8
10,2503,64.7,72,1.9,0,0.0,4,0.1,2579,66.6
11,3054,74.1,49,1.2,0,0.0,8,0.2,3111,75.5
12,2934,80.2,57,1.6,1,0.0,0,0.0,2992,81.8
13,3290,87.0,49,1.3,0,0.0,8,0.2,3347,88.5
14,3536,88.7,75,1.9,2,0.1,10,0.3,3623,90.9
15,3999,89.0,89,2.0,6,0.1,11,0.2,4105,91.4
16,4440,91.1,46,0.9,34,0.7,17,0.3,4537,93.1
17,3538,90.4,30,0.8,55,1.4,41,1.0,3664,93.6
18,4285,87.1,126,2.6,89,1.8,44,0.9,4544,92.4
19,3520,89.0,51,1.3,101,2.6,16,0.4,3688,93.3
20,3647,91.2,30,0.8,119,3.0,29,0.7,3825,95.7
21,2627,90.8,19,0.7,102,3.5,24,0.8,2772,95.8
22,1967,84.3,11,0.5,181,7.8,23,1.0,2182,93.5
23,1177,73.9,6,0.4,279,17.5,23,1.4,1485,93.3
24,505,52.4,10,1.0,379,39.3,13,1.3,907,94.1
25,226,31.7,3,0.4,428,60.1,7,1.0,664,93.3
26,118,21.5,0,0.0,407,74.0,9,1.6,534,97.1
