week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
1,5,2.2,0,0.0,0,0.0,0,0.0
2,52,8.5,7,1.1,0,0.0,0,0.0
3,96,5.4,12,0.7,0,0.0,0,0.0
4,285,10.6,13,0.5,0,0.0,0,0.0
5,557,17.9,24,0.8,0,0.0,0,0.0
6,712,21.0,19,0.6,0,0.0,6,0.1
7,1201,32.6,19,0.5,0,0.0,6,0.1
8,1887,44.0,35,0.8,0,0.0,2,0.0
9,1926,51.7,68,1.8,0,0.0,9,0.2
10,2495,64.5,72,1.9,0,0.0,4,0.1
11,3051,74.1,50,1.2,0,0.0,7,0.2
12,2923,79.9,54,1.4,1,0.0,0,0.0
13,3286,86.9,49,1.3,0,0.0,8,0.3
14,3506,88.0,74,1.9,2,0.1,9,0.3
15,3988,88.8,89,1.9,6,0.1,10,0.2
16,4420,90.7,47,0.9,32,0.7,17,0.4
17,3523,90.1,32,0.8,55,1.4,36,0.9
18,4271,87.0,126,2.5,88,1.8,41,0.8
19,3317,88.4,52,1.4,92,2.5,16,0.4
20,3452,90.4,29,0.7,119,3.1,17,0.5
21,2418,90.1,16,0.6,97,3.6,16,0.6
22,1589,83.5,8,0.4,151,7.9,16,0.8
23,570,74.1,5,0.7,116,15.1,5,0.7
